date,value
2018-01-02,9.77
2018-01-03,9.15
2018-02-05,37.32
2018-12-24,36.07
2019-01-02,25.45
2019-04-01,13.34
2019-08-05,24.59
2019-12-31,13.78
2020-02-20,14.38
2020-03-16,82.69
2020-04-01,57.06
2020-06-01,28.23
2020-09-03,33.60
2020-12-31,22.75
2021-01-04,26.97
2021-03-01,23.35
2021-06-01,16.65
2021-09-01,16.41
2021-12-01,21.57
2022-01-24,29.90
2022-06-13,34.02
2022-09-23,29.92
2022-12-30,21.67
2023-03-13,26.52
2023-06-01,15.00
2023-10-20,21.71
2023-12-29,12.45
2024-01-02,13.79
